# https://raw.githubusercontent.com/ilpl/ad-hosts/master/hosts

# app ad
# > ximalya
domain:spotxchange.com:@ads
domain:unimhk.com:@ads
domain:upapi.net:@ads
domain:a.baidu.com:@ads
domain:ad.duapps.com:@ads
domain:ad.player.baidu.com:@ads
domain:adm.baidu.com:@ads
domain:adscdn.baidu.com:@ads
domain:adx.xiaodutv.com:@ads
domain:ae.bdstatic.com:@ads
domain:afd.baidu.com:@ads
domain:als.baidu.com:@ads
domain:api.mobula.sdk.duapps.com:@ads
domain:api.tuisong.baidu.com:@ads
domain:appc.baidu.com:@ads
domain:b.bdstatic.com:@ads
domain:baichuan.baidu.com:@ads
domain:baidustatic.com:@ads
domain:baidutv.baidu.com:@ads
domain:banlv.baidu.com:@ads
domain:bar.baidu.com:@ads
domain:bdimg.share.baidu.com:@ads
domain:bdplus.baidu.com:@ads
domain:bj.bcebos.com:@ads
domain:btlaunch.baidu.com:@ads
domain:c.baidu.com:@ads
domain:cb.baidu.com:@ads
domain:cbjs.baidu.com:@ads
domain:cjhq.baidu.com:@ads
domain:cleaner.baidu.com:@ads
domain:click.bes.baidu.com:@ads
domain:click.hm.baidu.com:@ads
domain:click.qianqian.com:@ads
domain:cm.baichuan.baidu.com:@ads
domain:cm.baidu.com:@ads
domain:cm.pos.baidu.com:@ads
domain:cpro.baidu.cn:@ads
domain:cpro.baidu.com:@ads
domain:cpro.baidustatic.com:@ads
domain:cpro.tieba.baidu.com:@ads
domain:cpro.zhidao.baidu.com:@ads
domain:cpro2.baidu.com:@ads
domain:cpro2.baidustatic.com:@ads
domain:crs.baidu.com:@ads
domain:datax.baidu.com:@ads
domain:dd713.bj.bcebos.com:@ads
domain:dl.client.baidu.com:@ads
domain:dl.ops.baidu.com:@ads
domain:dl1sw.baidu.com:@ads
domain:dl2.bav.baidu.com:@ads
domain:dlsw.baidu.com:@ads
domain:dlsw.br.baidu.com:@ads
domain:dl-vip.bav.baidu.com:@ads
domain:dl-vip.pcfaster.baidu.co.th:@ads
domain:download.bav.baidu.com:@ads
domain:download.sd.baidu.com:@ads
domain:drmcmm.baidu.com:@ads
domain:dup.baidustatic.com:@ads
domain:dxp.baidu.com:@ads
domain:dzl.baidu.com:@ads
domain:e.baidu.com:@ads
domain:eclick.baidu.com:@ads
domain:ecma.bdimg.com:@ads
domain:ecmb.bdimg.com:@ads
domain:ecmc.bdimg.com:@ads
domain:eiv.baidu.com:@ads
domain:em.baidu.com:@ads
domain:entry.baidu.com:@ads
domain:ers.baidu.com:@ads
domain:f10.baidu.com:@ads
domain:fc-feed.cdn.bcebos.com:@ads
domain:fclick.baidu.com:@ads
domain:feed.baidu.com:@ads
domain:fexclick.baidu.com:@ads
domain:g.baidu.com:@ads
domain:gimg.baidu.com:@ads
domain:guanjia.baidu.com:@ads
domain:hc.baidu.com:@ads
domain:hm.baidu.com:@ads
domain:hmma.baidu.com:@ads
domain:hpd.baidu.com:@ads
domain:idm.bce.baidu.com:@ads
domain:idm-su.baidu.com:@ads
domain:iebar.baidu.com:@ads
domain:ikcode.baidu.com:@ads
domain:img.taotaosou.cn:@ads
domain:img01.taotaosou.cn:@ads
domain:j.br.baidu.com:@ads
domain:kstj.baidu.com:@ads
domain:log.music.baidu.com:@ads
domain:m1.baidu.com:@ads
domain:ma.baidu.com:@ads
domain:mobads.baidu.com:@ads
domain:mobads-logs.baidu.com:@ads
domain:mpro.baidu.com:@ads
domain:msite.baidu.com:@ads
domain:neirong.baidu.com:@ads
domain:nsclick.baidu.com:@ads
domain:nsclickvideo.baidu.com:@ads
domain:openrcv.baidu.com:@ads
domain:pc.videoclick.baidu.com:@ads
domain:pos.baidu.com:@ads
domain:pups.bdimg.com:@ads
domain:push.zhanzhang.baidu.com:@ads
domain:qianclick.baidu.com:@ads
domain:release.baidu.com:@ads
domain:res.mi.baidu.com:@ads
domain:rigel.baidustatic.com:@ads
domain:river.zhidao.baidu.com:@ads
domain:rj.baidu.com:@ads
domain:rplog.baidu.com:@ads
domain:s.baidu.com:@ads
domain:s.cpro.baidu.com:@ads
domain:sa.tuisong.baidu.com:@ads
domain:sclick.baidu.com:@ads
domain:sestat.baidu.com:@ads
domain:shadu.baidu.com:@ads
domain:share.baidu.com:@ads
domain:snippet.pos.baidu.com:@ads
domain:sobar.baidu.com:@ads
domain:sobartop.baidu.com:@ads
domain:spcode.baidu.com:@ads
domain:stat.v.baidu.com:@ads
domain:su.bdimg.com:@ads
domain:su.bdstatic.com:@ads
domain:tk.baidu.com:@ads
domain:tkweb.baidu.com:@ads
domain:tob-cms.bj.bcebos.com:@ads
domain:tongji.baidu.com:@ads
domain:toolbar.baidu.com:@ads
domain:tracker.baidu.com:@ads
domain:tuijian.baidu.com:@ads
domain:uat1.bfsspadserver.8le8le.com:@ads
domain:ubmcmm.baidustatic.com:@ads
domain:ucstat.baidu.com:@ads
domain:ulic.baidu.com:@ads
domain:ulog.imap.baidu.com:@ads
domain:union.baidu.com:@ads
domain:unionimage.baidu.com:@ads
domain:utility.baidu.com:@ads
domain:utk.baidu.com:@ads
domain:videopush.baidu.com:@ads
domain:vv84.bj.bcebos.com:@ads
domain:w.gdown.baidu.com:@ads
domain:w.x.baidu.com:@ads
domain:wangmeng.baidu.com:@ads
domain:weishi.baidu.com:@ads
domain:wenku-cms.bj.bcebos.com:@ads
domain:wisepush.video.baidu.com:@ads
domain:wm.baidu.com:@ads
domain:wn.pos.baidu.com:@ads
domain:znsv.baidu.com:@ads
domain:zz.bdstatic.com:@ads
domain:zzy1.quyaoya.com:@ads
domain:assets.growingio.com:@ads
domain:ogury.com:@ads
domain:presage.io:@ads
domain:ogury.co:@ads
domain:uberads.com:@ads
full:adeventtracker.spotify.com:@ads
full:adstudio-assets.scdn.co:@ads
full:bloodhound.spotify.com:@ads
domain:atom-data.io:@ads
domain:analytics-data.io:@ads
domain:ironbeast.io:@ads
domain:inner-active.mobi:@ads
full:apilog-web.acfun.cn:@ads
domain:amazon-adsystem.com:@ads
domain:emogi.com:@ads
domain:click.hunantv.com:@ads
domain:da.hunantv.com:@ads
domain:da.mgtv.com:@ads
domain:log.hunantv.com:@ads
domain:log.v2.hunantv.com:@ads
domain:res.hunantv.com:@ads
domain:v2.log.hunantv.com:@ads
domain:ads.pubmatic.com:@ads
domain:iadsdk.apple.com:@ads
domain:iad.apple.com:@ads
domain:qwapi.com:@ads
domain:data.flurry.com:@ads
domain:mopub.com:@ads
domain:cdn.pocoiq.cn:@ads
domain:oct.pocoiq.cn:@ads
domain:unityads.unity3d.com:@ads
domain:unityads.unitychina.cn:@ads
domain:zynga.com:@ads
domain:zyngaplayersupport.com:@ads
domain:onesignal.com:@ads
domain:cdn.segment.com:@ads
domain:decide.mixpanel.com:@ads
domain:bluekai.com:@ads
domain:fout.jp:@ads
domain:gmossp-sp.jp:@ads
domain:i-mobile.co.jp:@ads
domain:im-apps.net:@ads
domain:impact-ad.jp:@ads
domain:ladsp.com:@ads
domain:microad.co.jp:@ads
domain:microad.jp:@ads
domain:socdm.com:@ads
domain:2016.sina.cn:@ads
domain:ad.sina.com.cn:@ads
domain:adbox.sina.com.cn:@ads
domain:adimages.sina.com.hk:@ads
domain:adimg.mobile.sina.cn:@ads
domain:adimg.uve.weibo.com:@ads
domain:adm.leju.sina.com.cn:@ads
domain:ads.sina.com:@ads
domain:alitui.weibo.com:@ads
domain:api.apps.sina.cn:@ads
domain:appgift.sinaapp.com:@ads
domain:appsupdate.sinaapp.com:@ads
domain:atm.sina.com:@ads
domain:beacon.sina.com.cn:@ads
domain:biz.weibo.com:@ads
domain:c.biz.weibo.com:@ads
domain:c.wcpt.biz.weibo.com:@ads
domain:click.uve.mobile.sina.cn:@ads
domain:click.uve.weibo.com:@ads
domain:cm.dmp.sina.cn:@ads
domain:contentrecommend-out.mobile.sina.cn:@ads
domain:count.video.sina.com.cn:@ads
domain:counter.sina.com.cn:@ads
domain:cre.dp.sina.cn:@ads
domain:cre-dp.sina.cn:@ads
domain:d00.sina.com.cn:@ads
domain:dcads.sina.com.cn:@ads
domain:dl.kjava.sina.cn:@ads
domain:dmp.sina.cn:@ads
domain:dp.im.weibo.cn:@ads
domain:game.weibo.cn:@ads
domain:game.weibo.com:@ads
domain:gw5.push.mcp.weibo.cn:@ads
domain:gw6.push.mcp.weibo.cn:@ads
domain:img.adbox.sina.com.cn:@ads
domain:img.amp.ad.sina.com.cn:@ads
domain:int.dpool.sina.com.cn:@ads
domain:interest.mix.sina.com.cn:@ads
domain:log.interest.mix.sina.com.cn:@ads
domain:log.mix.sina.com.cn:@ads
domain:log.sina.cn:@ads
domain:m.beacon.sina.com.cn:@ads
domain:m.game.weibo.cn:@ads
domain:mg.games.sina.com.cn:@ads
domain:motu.p4p.sina.com.cn:@ads
domain:newspush.sinajs.cn:@ads
domain:oascentral.sina.com:@ads
domain:oascentral.sina.com.hk:@ads
domain:p4p.sina.com.cn:@ads
domain:palmnews.sina.cn:@ads
domain:pay.mobile.sina.cn:@ads
domain:pfp.sina.com.cn:@ads
domain:pfpip.sina.com:@ads
domain:promote.biz.weibo.cn:@ads
domain:r.dmp.sina.cn:@ads
domain:rm.sina.com.cn:@ads
domain:rs.sinajs.cn:@ads
domain:s.alitui.weibo.com:@ads
domain:s.img.mix.sina.com.cn:@ads
domain:sapi.sina.cn:@ads
domain:sax.sina.cn:@ads
domain:sax.sina.com.cn:@ads
domain:saxn.sina.com.cn:@ads
domain:saxs.sina.com.cn:@ads
domain:sbeacon.sina.com.cn:@ads
domain:sdkapp.mobile.sina.cn:@ads
domain:sdkapp.uve.weibo.com:@ads
domain:sdkclick.mobile.sina.cn:@ads
domain:slog.sina.cn:@ads
domain:slog.sina.com.cn:@ads
domain:staticadm.leju.sina.com.cn:@ads
domain:tjs.sjs.sinajs.cn:@ads
domain:trends.mobile.sina.cn:@ads
domain:u1.img.mobile.sina.cn:@ads
domain:wapwbclick.mobile.sina.cn:@ads
domain:wbapp.mobile.sina.cn:@ads
domain:wbapp.uve.weibo.com:@ads
domain:wbclick.mobile.sina.cn:@ads
domain:wbpctips.mobile.sina.cn:@ads
domain:widget.weibo.com:@ads
domain:woocall.sina.com.cn:@ads
domain:zc.biz.weibo.com:@ads
domain:zymo.mps.weibo.com:@ads
domain:2mdn.net:@ads
domain:admob.com:@ads
domain:adsense.com:@ads
domain:adsensecustomsearchads.com:@ads
domain:adsenseformobileapps.com:@ads
domain:advertisercommunity.com:@ads
domain:advertiserscommunity.com:@ads
domain:adwords-community.com:@ads
domain:adwords.com:@ads
domain:adwordsexpress.com:@ads
domain:app-measurement.com:@ads
domain:clickserver.googleads.com:@ads
domain:doubleclick.com:@ads
domain:doubleclick.net:@ads
domain:google-analytics.com:@ads
domain:googleadapis.com:@ads
domain:googleadservices.com:@ads
domain:googleanalytics.com:@ads
domain:googleoptimize.com:@ads
domain:googlesyndication.com:@ads
domain:googletagmanager.com:@ads
domain:googletagservices.com:@ads
domain:googletraveladservices.com:@ads
domain:urchin.com:@ads
regexp:^adservice\.google\.([a-z]{2}|com?)(\.[a-z]{2})?$:@ads
full:log-sdk.gifshow.com:@ads
full:wlog.kuaishou.com:@ads
domain:api.game.letvstore.com:@ads
domain:ark.letv.com:@ads
domain:dc.letv.com:@ads
domain:dev.dc.letv.com:@ads
domain:fz.letv.com:@ads
domain:g3.letv.com:@ads
domain:letv.allyes.com:@ads
domain:minisite.letv.com:@ads
domain:msg.m.letv.com:@ads
domain:n.mark.letv.com:@ads
domain:plog.dc.letv.com:@ads
domain:pro.hoye.letv.com:@ads
domain:pro.letv.com:@ads
domain:stat.letv.com:@ads
domain:static.app.m.letv.com:@ads
domain:g1.tagtic.cn:@ads
domain:xy-log.tagtic.cn:@ads
domain:applovin.com:@ads
domain:applvn.com:@ads
domain:js-agent.newrelic.com:@ads
domain:adnet.sohu.com:@ads
domain:ads.sohu.com:@ads
domain:adv-sv-show.focus.cn:@ads
domain:aty.sohu.com:@ads
domain:data.vod.itc.cn:@ads
domain:epro.sogou.com:@ads
domain:go.sohu.com:@ads
domain:golden1.sogou.com:@ads
domain:imp.optaim.com:@ads
domain:inte.sogou.com:@ads
domain:inte.sogoucdn.com:@ads
domain:lu.sogoucdn.com:@ads
domain:pv.sohu.com:@ads
domain:theta.sogoucdn.com:@ads
domain:track.sohu.com:@ads
domain:uranus.sogou.com:@ads
domain:v2.reachmax.cn:@ads
full:e8aeb8bbdbbd7.cdn.sohucs.com:@ads
full:643108e7617ef.cdn.sohucs.com:@ads
domain:supersonic.com:@ads
domain:supersonicads.com:@ads
domain:ssacdn.com:@ads
domain:supersonicads-a.akamaihd.net:@ads
domain:alog.umeng.com:@ads
domain:alog.umengcloud.com:@ads
domain:w.cnzz.com:@ads
domain:z.gds.cnzz.com:@ads
domain:leanplum.com:@ads
domain:adcolony.com:@ads
domain:mlog.hiido.com:@ads
domain:ylog.hiido.com:@ads
domain:a.ckm.iqiyi.com:@ads
domain:ad.m.iqiyi.com:@ads
domain:afp.iqiyi.com:@ads
domain:c.uaa.iqiyi.com:@ads
domain:cloudpush.iqiyi.com:@ads
domain:cm.passport.iqiyi.com:@ads
domain:cupid.iqiyi.com:@ads
domain:emoticon.sns.iqiyi.com:@ads
domain:gamecenter.iqiyi.com:@ads
domain:hotchat-im.iqiyi.com:@ads
domain:ifacelog.iqiyi.com:@ads
domain:mbdlog.iqiyi.com:@ads
domain:msg.71.am:@ads
domain:msg.video.qiyi.com:@ads
domain:msg2.video.qiyi.com:@ads
domain:policy.video.iqiyi.com:@ads
domain:yuedu.iqiyi.com:@ads
domain:ads.union.jd.com:@ads
domain:c-nfa.jd.com:@ads
domain:cps.360buy.com:@ads
domain:jzt.jd.com:@ads
domain:stat.m.jd.com:@ads
domain:img-x.jd.com:@ads
domain:ads.wteam.xyz:@ads
regexp:^speed\.(coe|open)\.ad\.[a-z]{2,6}\.prod\.hosts\.ooklaserver\.net$:@ads
domain:ad.qq.com:@ads
domain:ad.qun.qq.com:@ads
domain:adfilter.imtt.qq.com:@ads
domain:adping.qq.com:@ads
domain:adpm.app.qq.com:@ads
domain:adsclick.qq.com:@ads
domain:adsfile.qq.com:@ads
domain:adshmmsg.qq.com:@ads
domain:adslvfile.qq.com:@ads
domain:adslvseed.qq.com:@ads
domain:adsmind.apdcdn.tc.qq.com:@ads
domain:adsqqclick.qq.com:@ads
domain:adstestview.qq.com:@ads
domain:adsview.qq.com:@ads
domain:adsview2.qq.com:@ads
domain:adv.app.qq.com:@ads
domain:adver.qq.com:@ads
domain:btrace.qq.com:@ads
domain:e.qq.com:@ads
domain:log.tbs.qq.com:@ads
domain:mpush.qq.com:@ads
domain:mtrace.qq.com:@ads
domain:push.qq.com:@ads
domain:pgdt.gtimg.cn:@ads
domain:adjust.com:@ads
domain:analytics.163.com:@ads
domain:crash.163.com:@ads
domain:crashlytics.163.com:@ads
domain:g.163.com:@ads
domain:bds.snssdk.com:@ads
domain:ctobsnssdk.com:@ads
domain:dig.bdurl.net:@ads
domain:extlog.snssdk.com:@ads
domain:i.snssdk.com:@ads
domain:is.snssdk.com:@ads
domain:mcs.snssdk.com:@ads
domain:pangolin.snssdk.com:@ads
domain:pangolin-sdk-toutiao.com:@ads
domain:pglstatp-toutiao.com:@ads
domain:sf3-ttcdn-tos.pstatp.com:@ads
domain:x.clearbitjs.com:@ads
domain:evt.mxplay.com:@ads
domain:ads.yahoo.com:@ads
domain:gemini.yahoo.com:@ads
domain:ysm.yahoo.com:@ads
domain:actives.youku.com:@ads
domain:ad.api.3g.youku.com:@ads
domain:ad.api.mobile.youku.com:@ads
domain:ad.mobile.youku.com:@ads
domain:a-dxk.play.api.3g.youku.com:@ads
domain:atm.youku.com:@ads
domain:b.smartvideo.youku.com:@ads
domain:c.yes.youku.com:@ads
domain:das.api.youku.com:@ads
domain:das.mobile.youku.com:@ads
domain:dev-push.m.youku.com:@ads
domain:dl.g.youku.com:@ads
domain:dmapp.youku.com:@ads
domain:e.stat.ykimg.com:@ads
domain:gamex.mobile.youku.com:@ads
domain:guanggaoad.youku.com:@ads
domain:hudong.pl.youku.com:@ads
domain:huodong.pl.youku.com:@ads
domain:huodong.vip.youku.com:@ads
domain:hz.youku.com:@ads
domain:iyes.youku.com:@ads
domain:l.ykimg.com:@ads
domain:lstat.youku.com:@ads
domain:mobilemsg.youku.com:@ads
domain:msg.youku.com:@ads
domain:myes.youku.com:@ads
domain:p.l.youku.com:@ads
domain:pl.youku.com:@ads
domain:passport-log.youku.com:@ads
domain:p-log.ykimg.com:@ads
domain:push.m.youku.com:@ads
domain:r.l.youku.com:@ads
domain:s.p.youku.com:@ads
domain:sdk.m.youku.com:@ads
domain:stat.youku.com:@ads
domain:statis.api.3g.youku.com:@ads
domain:store.tv.api.3g.youku.com:@ads
domain:store.xl.api.3g.youku.com:@ads
domain:tdrec.youku.com:@ads
domain:test.ott.youku.com:@ads
domain:test.sdk.m.youku.com:@ads
domain:v.l.youku.com:@ads
domain:val.api.youku.com:@ads
domain:wan.youku.com:@ads
domain:ykatr.youku.com:@ads
domain:ykrec.youku.com:@ads
domain:static.hotjar.com:@ads
domain:static.sensorsdata.cn:@ads
domain:ssp.api.tappx.com:@ads
domain:collector.xhamster.com:@ads
domain:a.alimama.cn:@ads
domain:acjs.aliyun.com:@ads
domain:adash.m.taobao.com:@ads
domain:adashbc.m.taobao.com:@ads
domain:adashbc.ut.taobao.com:@ads
domain:adash-c.ut.taobao.com:@ads
domain:adashx.m.taobao.com:@ads
domain:adashx4ae.ut.taobao.com:@ads
domain:adashx4yt.m.taobao.com:@ads
domain:adashxgc.ut.taobao.com:@ads
domain:adsh.m.taobao.com:@ads
domain:afp.adchina.com:@ads
domain:afp.alicdn.com:@ads
domain:agoodm.m.taobao.com:@ads
domain:agoodm.wapa.taobao.com:@ads
domain:alipaylog.com:@ads
domain:amdc.alipay.com:@ads
domain:amdc.m.taobao.com:@ads
domain:api.wapa.taobao.com:@ads
domain:api.waptest.taobao.com:@ads
domain:apoll.m.taobao.com:@ads
domain:appdownload.alicdn.com:@ads
domain:atanx.alicdn.com:@ads
domain:atanx2.alicdn.com:@ads
domain:cdn0.mobmore.com:@ads
domain:click.aliyun.com:@ads
domain:click.mz.simba.taobao.com:@ads
domain:cm.ipinyou.com:@ads
domain:cm.mlt01.com:@ads
domain:dsp.simba.taobao.com:@ads
domain:err.taobao.com:@ads
domain:ex.mobmore.com:@ads
domain:ex.puata.info:@ads
domain:fav.simba.taobao.com:@ads
domain:feedback.whalecloud.com:@ads
domain:ff.win.taobao.com:@ads
domain:fm.p0y.cn:@ads
domain:g.click.taobao.com:@ads
domain:g.tbcdn.cn:@ads
domain:gma.alicdn.com:@ads
domain:gtms01.alicdn.com:@ads
domain:gtms02.alicdn.com:@ads
domain:gtms03.alicdn.com:@ads
domain:gtms04.alicdn.com:@ads
domain:hydra.alibaba.com:@ads
domain:hz.pre.tbusergw.taobao.net:@ads
domain:hz.tbusergw.taobao.net:@ads
domain:i.ipinyou.com:@ads
domain:init.phpwind.com:@ads
domain:intl.wapa.taobao.com:@ads
domain:intl.waptest.taobao.com:@ads
domain:jxlog.istreamsche.com:@ads
domain:log.umtrack.com:@ads
domain:m.intl.taobao.com:@ads
domain:m.simba.taobao.com:@ads
domain:match.p4p.1688.com:@ads
domain:material.istreamsche.com:@ads
domain:mlt01.com:@ads
domain:nbsdk-baichuan.alicdn.com:@ads
domain:nbsdk-baichuan.taobao.com:@ads
domain:osfota.cdn.aliyun.com:@ads
domain:osupdate.aliyun.com:@ads
domain:osupdateservice.yunos.com:@ads
domain:pindao.huoban.taobao.com:@ads
domain:push.wandoujia.com:@ads
domain:re.m.taobao.com:@ads
domain:re.taobao.com:@ads
domain:redirect.simba.taobao.com:@ads
domain:rj.m.taobao.co:@ads
domain:rj.m.taobao.com:@ads
domain:sdkinit.taobao.com:@ads
domain:show.re.taobao.com:@ads
domain:simaba.taobao.com:@ads
domain:simba.m.taobao.com:@ads
domain:srd.simba.taobao.com:@ads
domain:stats.ipinyou.com:@ads
domain:strip.taobaocdn.com:@ads
domain:tanxlog.istreamsche.com:@ads
domain:tejia.taobao.com:@ads
domain:temai.taobao.com:@ads
domain:tns.simba.taobao.com:@ads
domain:tongji.linezing.com:@ads
domain:tvupgrade.yunos.com:@ads
domain:tyh.taobao.com:@ads
domain:userimg.qunar.com:@ads
domain:w.m.taobao.com:@ads
domain:yiliao.hupan.com:@ads
domain:ad.intl.xiaomi.com:@ads
domain:ad.mi.com:@ads
domain:ad.xiaomi.com:@ads
domain:ad1.xiaomi.com:@ads
domain:admob.xiaomi.com:@ads
domain:adv.sec.intl.miui.com:@ads
domain:adv.sec.miui.com:@ads
domain:misc.in.duokanbox.com:@ads
domain:mistat.xiaomi.com:@ads
domain:tjqonline.cn:@ads
domain:tracking.miui.com:@ads
domain:ad.hpplay.cn:@ads
domain:adeng.hpplay.cn:@ads
domain:kuyun.com:@ads
domain:umeng.com:@ads
